dado,tipo
Orientação sexual: Bissexual,sim
Último acesso: 01/09/2025 às 09:43,não
CPF: 665.129.858-16,sim
Tempo de navegação: 12 minutos,não
"Av. Paulista, 216 - Curitiba/PR",sim
Compra de 2 notebooks no site,não
Gênero: Masculino,sim
Visualizou página de esportes,não
Telefone: (11) 92744-5962,sim
Acesso realizado às 14h35,não
Gênero: Não-binário,sim
Leu um artigo sobre saúde na plataforma,não
Orientação sexual: Homossexual,sim
Gostos musicais: MPB e samba,não
Budista,sim
Gostos musicais: MPB e samba,não
Telefone: (41) 98257-6323,sim
Compra de 2 notebooks no site,não
Idade: 58 anos,sim
Compra de 2 notebooks no site,não
Orientação sexual: Assexual,sim
Visualizou página de esportes,não
Evangélico,sim
Preferência por filmes de ação,não
Gênero: Masculino,sim
Visualizou página de esportes,não
Partido: Partido Verde,sim
Último acesso: 01/09/2025 às 09:43,não
Idade: 31 anos,sim
Preferência por filmes de ação,não
Orientação sexual: Bissexual,sim
Gostos musicais: MPB e samba,não
Umbandista,sim
Acesso realizado às 14h35,não
Idade: 65 anos,sim
Acesso realizado às 14h35,não
"Rua Goiás, 227 - Curitiba/PR",sim
Tempo de navegação: 12 minutos,não
CPF: 265.191.744-67,sim
Preferência por filmes de ação,não
Felipe Gomes Santos,sim
Compra de 2 notebooks no site,não
CPF: 354.216.170-91,sim
Gostos musicais: MPB e samba,não
Idade: 25 anos,sim
Último acesso: 01/09/2025 às 09:43,não
"Rua Goiás, 130 - Curitiba/PR",sim
Compra de 2 notebooks no site,não
Partido: Partido Verde,sim
Preferência por filmes de ação,não
Telefone: (31) 98012-5257,sim
Leu um artigo sobre saúde na plataforma,não
Orientação sexual: Heterossexual,sim
Visualizou página de esportes,não
Gênero: Masculino,sim
Acesso realizado às 14h35,não
Gênero: Masculino,sim
Acesso realizado às 14h35,não
Orientação sexual: Bissexual,sim
Preferência por filmes de ação,não
Partido: Partido Socialista,sim
Preferência por filmes de ação,não
Idade: 68 anos,sim
Leu artigo sobre culinária,não
Budista,sim
Tempo de navegação: 12 minutos,não
CPF: 553.384.584-32,sim
Compra de 2 notebooks no site,não
Telefone: (31) 92878-9304,sim
Último acesso: 01/09/2025 às 09:43,não
Carlos Henrique Ramos,sim
Acesso realizado às 14h35,não
"Av. Paulista, 389 - Curitiba/PR",sim
Leu um artigo sobre saúde na plataforma,não
Partido: Partido Verde,sim
Leu um artigo sobre saúde na plataforma,não
Idade: 63 anos,sim
Clicou em anúncio de viagens,não
Gênero: Não-binário,sim
Visualizou página de esportes,não
Gênero: Feminino,sim
Leu um artigo sobre saúde na plataforma,não
Idade: 49 anos,sim
Clicou em anúncio de viagens,não
Mariana Alves Rocha,sim
Tempo de navegação: 12 minutos,não
Carlos Henrique Ramos,sim
Clicou em anúncio de viagens,não
Espírita,sim
Leu um artigo sobre saúde na plataforma,não
Mariana Alves Rocha,sim
Tempo de navegação: 12 minutos,não
Partido: Partido Trabalhista,sim
Clicou em anúncio de viagens,não
Ateu,sim
Acesso realizado às 14h35,não
Partido: Partido Liberal,sim
Preferência por filmes de ação,não
Gênero: Não-binário,sim
Leu um artigo sobre saúde na plataforma,não
Orientação sexual: Homossexual,sim
Tempo de navegação: 12 minutos,não
Telefone: (21) 94046-2585,sim
Leu artigo sobre culinária,não
E-mail: ana.beatriz.de.souza@email.com,sim
Clicou em anúncio de viagens,não
Idade: 21 anos,sim
Clicou em anúncio de viagens,não
Ana Beatriz de Souza,sim
Compra de 2 notebooks no site,não
Gênero: Feminino,sim
Preferência por filmes de ação,não
Espírita,sim
Leu um artigo sobre saúde na plataforma,não
Telefone: (41) 95383-3400,sim
Último acesso: 01/09/2025 às 09:43,não
Idade: 18 anos,sim
Visualizou página de esportes,não
"Av. Paulista, 622 - Curitiba/PR",sim
Preferência por filmes de ação,não
Idade: 40 anos,sim
Preferência por filmes de ação,não
Idade: 18 anos,sim
Clicou em anúncio de viagens,não
Ricardo Oliveira Pinto,sim
Compra de 2 notebooks no site,não
Idade: 63 anos,sim
Acesso realizado às 14h35,não
E-mail: juliana.costa.nunes@email.com,sim
Leu um artigo sobre saúde na plataforma,não
Idade: 35 anos,sim
Acesso realizado às 14h35,não
"Av. Atlântica, 796 - Belo Horizonte/MG",sim
Clicou em anúncio de viagens,não
"Av. Atlântica, 523 - Curitiba/PR",sim
Clicou em anúncio de viagens,não
Gênero: Masculino,sim
Preferência por filmes de ação,não
Orientação sexual: Heterossexual,sim
Compra de 2 notebooks no site,não
Partido: Partido Verde,sim
Clicou em anúncio de viagens,não
Orientação sexual: Bissexual,sim
Visualizou página de esportes,não
